mode_value,landuse_name,s1_name,s2_name
11,ROIs1868_summer/lc_40/ROIs1868_summer_lc_40_p706.tif,ROIs1868_summer/s1_40/ROIs1868_summer_s1_40_p706.tif,ROIs1868_summer/s2_40/ROIs1868_summer_s2_40_p706.tif
13,ROIs1158_spring/lc_119/ROIs1158_spring_lc_119_p790.tif,ROIs1158_spring/s1_119/ROIs1158_spring_s1_119_p790.tif,ROIs1158_spring/s2_119/ROIs1158_spring_s2_119_p790.tif
17,ROIs1868_summer/lc_100/ROIs1868_summer_lc_100_p57.tif,ROIs1868_summer/s1_100/ROIs1868_summer_s1_100_p57.tif,ROIs1868_summer/s2_100/ROIs1868_summer_s2_100_p57.tif
12,ROIs1158_spring/lc_122/ROIs1158_spring_lc_122_p352.tif,ROIs1158_spring/s1_122/ROIs1158_spring_s1_122_p352.tif,ROIs1158_spring/s2_122/ROIs1158_spring_s2_122_p352.tif
11,ROIs1158_spring/lc_110/ROIs1158_spring_lc_110_p428.tif,ROIs1158_spring/s1_110/ROIs1158_spring_s1_110_p428.tif,ROIs1158_spring/s2_110/ROIs1158_spring_s2_110_p428.tif
12,ROIs1158_spring/lc_121/ROIs1158_spring_lc_121_p209.tif,ROIs1158_spring/s1_121/ROIs1158_spring_s1_121_p209.tif,ROIs1158_spring/s2_121/ROIs1158_spring_s2_121_p209.tif
14,ROIs1868_summer/lc_147/ROIs1868_summer_lc_147_p837.tif,ROIs1868_summer/s1_147/ROIs1868_summer_s1_147_p837.tif,ROIs1868_summer/s2_147/ROIs1868_summer_s2_147_p837.tif
17,ROIs1158_spring/lc_110/ROIs1158_spring_lc_110_p647.tif,ROIs1158_spring/s1_110/ROIs1158_spring_s1_110_p647.tif,ROIs1158_spring/s2_110/ROIs1158_spring_s2_110_p647.tif
11,ROIs1970_fall/lc_105/ROIs1970_fall_lc_105_p768.tif,ROIs1970_fall/s1_105/ROIs1970_fall_s1_105_p768.tif,ROIs1970_fall/s2_105/ROIs1970_fall_s2_105_p768.tif
2,ROIs1158_spring/lc_112/ROIs1158_spring_lc_112_p819.tif,ROIs1158_spring/s1_112/ROIs1158_spring_s1_112_p819.tif,ROIs1158_spring/s2_112/ROIs1158_spring_s2_112_p819.tif
2,ROIs1868_summer/lc_86/ROIs1868_summer_lc_86_p452.tif,ROIs1868_summer/s1_86/ROIs1868_summer_s1_86_p452.tif,ROIs1868_summer/s2_86/ROIs1868_summer_s2_86_p452.tif
14,ROIs2017_winter/lc_63/ROIs2017_winter_lc_63_p172.tif,ROIs2017_winter/s1_63/ROIs2017_winter_s1_63_p172.tif,ROIs2017_winter/s2_63/ROIs2017_winter_s2_63_p172.tif
2,ROIs1158_spring/lc_17/ROIs1158_spring_lc_17_p712.tif,ROIs1158_spring/s1_17/ROIs1158_spring_s1_17_p712.tif,ROIs1158_spring/s2_17/ROIs1158_spring_s2_17_p712.tif
17,ROIs1868_summer/lc_43/ROIs1868_summer_lc_43_p533.tif,ROIs1868_summer/s1_43/ROIs1868_summer_s1_43_p533.tif,ROIs1868_summer/s2_43/ROIs1868_summer_s2_43_p533.tif
14,ROIs1868_summer/lc_147/ROIs1868_summer_lc_147_p631.tif,ROIs1868_summer/s1_147/ROIs1868_summer_s1_147_p631.tif,ROIs1868_summer/s2_147/ROIs1868_summer_s2_147_p631.tif
17,ROIs1970_fall/lc_148/ROIs1970_fall_lc_148_p712.tif,ROIs1970_fall/s1_148/ROIs1970_fall_s1_148_p712.tif,ROIs1970_fall/s2_148/ROIs1970_fall_s2_148_p712.tif
2,ROIs1970_fall/lc_71/ROIs1970_fall_lc_71_p375.tif,ROIs1970_fall/s1_71/ROIs1970_fall_s1_71_p375.tif,ROIs1970_fall/s2_71/ROIs1970_fall_s2_71_p375.tif
9,ROIs2017_winter/lc_32/ROIs2017_winter_lc_32_p807.tif,ROIs2017_winter/s1_32/ROIs2017_winter_s1_32_p807.tif,ROIs2017_winter/s2_32/ROIs2017_winter_s2_32_p807.tif
10,ROIs1868_summer/lc_85/ROIs1868_summer_lc_85_p96.tif,ROIs1868_summer/s1_85/ROIs1868_summer_s1_85_p96.tif,ROIs1868_summer/s2_85/ROIs1868_summer_s2_85_p96.tif
11,ROIs1158_spring/lc_131/ROIs1158_spring_lc_131_p97.tif,ROIs1158_spring/s1_131/ROIs1158_spring_s1_131_p97.tif,ROIs1158_spring/s2_131/ROIs1158_spring_s2_131_p97.tif
13,ROIs1868_summer/lc_121/ROIs1868_summer_lc_121_p40.tif,ROIs1868_summer/s1_121/ROIs1868_summer_s1_121_p40.tif,ROIs1868_summer/s2_121/ROIs1868_summer_s2_121_p40.tif
17,ROIs2017_winter/lc_138/ROIs2017_winter_lc_138_p598.tif,ROIs2017_winter/s1_138/ROIs2017_winter_s1_138_p598.tif,ROIs2017_winter/s2_138/ROIs2017_winter_s2_138_p598.tif
17,ROIs1158_spring/lc_138/ROIs1158_spring_lc_138_p738.tif,ROIs1158_spring/s1_138/ROIs1158_spring_s1_138_p738.tif,ROIs1158_spring/s2_138/ROIs1158_spring_s2_138_p738.tif
17,ROIs1158_spring/lc_8/ROIs1158_spring_lc_8_p88.tif,ROIs1158_spring/s1_8/ROIs1158_spring_s1_8_p88.tif,ROIs1158_spring/s2_8/ROIs1158_spring_s2_8_p88.tif
2,ROIs1158_spring/lc_17/ROIs1158_spring_lc_17_p501.tif,ROIs1158_spring/s1_17/ROIs1158_spring_s1_17_p501.tif,ROIs1158_spring/s2_17/ROIs1158_spring_s2_17_p501.tif
14,ROIs1158_spring/lc_100/ROIs1158_spring_lc_100_p641.tif,ROIs1158_spring/s1_100/ROIs1158_spring_s1_100_p641.tif,ROIs1158_spring/s2_100/ROIs1158_spring_s2_100_p641.tif
9,ROIs1868_summer/lc_101/ROIs1868_summer_lc_101_p734.tif,ROIs1868_summer/s1_101/ROIs1868_summer_s1_101_p734.tif,ROIs1868_summer/s2_101/ROIs1868_summer_s2_101_p734.tif
12,ROIs2017_winter/lc_102/ROIs2017_winter_lc_102_p811.tif,ROIs2017_winter/s1_102/ROIs2017_winter_s1_102_p811.tif,ROIs2017_winter/s2_102/ROIs2017_winter_s2_102_p811.tif
9,ROIs1970_fall/lc_59/ROIs1970_fall_lc_59_p308.tif,ROIs1970_fall/s1_59/ROIs1970_fall_s1_59_p308.tif,ROIs1970_fall/s2_59/ROIs1970_fall_s2_59_p308.tif
13,ROIs1970_fall/lc_130/ROIs1970_fall_lc_130_p183.tif,ROIs1970_fall/s1_130/ROIs1970_fall_s1_130_p183.tif,ROIs1970_fall/s2_130/ROIs1970_fall_s2_130_p183.tif
2,ROIs1868_summer/lc_120/ROIs1868_summer_lc_120_p470.tif,ROIs1868_summer/s1_120/ROIs1868_summer_s1_120_p470.tif,ROIs1868_summer/s2_120/ROIs1868_summer_s2_120_p470.tif
14,ROIs1970_fall/lc_144/ROIs1970_fall_lc_144_p531.tif,ROIs1970_fall/s1_144/ROIs1970_fall_s1_144_p531.tif,ROIs1970_fall/s2_144/ROIs1970_fall_s2_144_p531.tif
12,ROIs1970_fall/lc_147/ROIs1970_fall_lc_147_p264.tif,ROIs1970_fall/s1_147/ROIs1970_fall_s1_147_p264.tif,ROIs1970_fall/s2_147/ROIs1970_fall_s2_147_p264.tif
13,ROIs1158_spring/lc_143/ROIs1158_spring_lc_143_p220.tif,ROIs1158_spring/s1_143/ROIs1158_spring_s1_143_p220.tif,ROIs1158_spring/s2_143/ROIs1158_spring_s2_143_p220.tif
10,ROIs1868_summer/lc_19/ROIs1868_summer_lc_19_p736.tif,ROIs1868_summer/s1_19/ROIs1868_summer_s1_19_p736.tif,ROIs1868_summer/s2_19/ROIs1868_summer_s2_19_p736.tif
17,ROIs1868_summer/lc_124/ROIs1868_summer_lc_124_p536.tif,ROIs1868_summer/s1_124/ROIs1868_summer_s1_124_p536.tif,ROIs1868_summer/s2_124/ROIs1868_summer_s2_124_p536.tif
17,ROIs1158_spring/lc_123/ROIs1158_spring_lc_123_p379.tif,ROIs1158_spring/s1_123/ROIs1158_spring_s1_123_p379.tif,ROIs1158_spring/s2_123/ROIs1158_spring_s2_123_p379.tif
11,ROIs1970_fall/lc_91/ROIs1970_fall_lc_91_p242.tif,ROIs1970_fall/s1_91/ROIs1970_fall_s1_91_p242.tif,ROIs1970_fall/s2_91/ROIs1970_fall_s2_91_p242.tif
12,ROIs1970_fall/lc_149/ROIs1970_fall_lc_149_p726.tif,ROIs1970_fall/s1_149/ROIs1970_fall_s1_149_p726.tif,ROIs1970_fall/s2_149/ROIs1970_fall_s2_149_p726.tif
13,ROIs1158_spring/lc_143/ROIs1158_spring_lc_143_p412.tif,ROIs1158_spring/s1_143/ROIs1158_spring_s1_143_p412.tif,ROIs1158_spring/s2_143/ROIs1158_spring_s2_143_p412.tif
10,ROIs1868_summer/lc_36/ROIs1868_summer_lc_36_p639.tif,ROIs1868_summer/s1_36/ROIs1868_summer_s1_36_p639.tif,ROIs1868_summer/s2_36/ROIs1868_summer_s2_36_p639.tif
9,ROIs2017_winter/lc_21/ROIs2017_winter_lc_21_p136.tif,ROIs2017_winter/s1_21/ROIs2017_winter_s1_21_p136.tif,ROIs2017_winter/s2_21/ROIs2017_winter_s2_21_p136.tif
14,ROIs1970_fall/lc_144/ROIs1970_fall_lc_144_p424.tif,ROIs1970_fall/s1_144/ROIs1970_fall_s1_144_p424.tif,ROIs1970_fall/s2_144/ROIs1970_fall_s2_144_p424.tif
13,ROIs1868_summer/lc_14/ROIs1868_summer_lc_14_p111.tif,ROIs1868_summer/s1_14/ROIs1868_summer_s1_14_p111.tif,ROIs1868_summer/s2_14/ROIs1868_summer_s2_14_p111.tif
9,ROIs1868_summer/lc_15/ROIs1868_summer_lc_15_p315.tif,ROIs1868_summer/s1_15/ROIs1868_summer_s1_15_p315.tif,ROIs1868_summer/s2_15/ROIs1868_summer_s2_15_p315.tif
14,ROIs1970_fall/lc_114/ROIs1970_fall_lc_114_p695.tif,ROIs1970_fall/s1_114/ROIs1970_fall_s1_114_p695.tif,ROIs1970_fall/s2_114/ROIs1970_fall_s2_114_p695.tif
9,ROIs1158_spring/lc_41/ROIs1158_spring_lc_41_p819.tif,ROIs1158_spring/s1_41/ROIs1158_spring_s1_41_p819.tif,ROIs1158_spring/s2_41/ROIs1158_spring_s2_41_p819.tif
11,ROIs1158_spring/lc_110/ROIs1158_spring_lc_110_p361.tif,ROIs1158_spring/s1_110/ROIs1158_spring_s1_110_p361.tif,ROIs1158_spring/s2_110/ROIs1158_spring_s2_110_p361.tif
13,ROIs2017_winter/lc_132/ROIs2017_winter_lc_132_p601.tif,ROIs2017_winter/s1_132/ROIs2017_winter_s1_132_p601.tif,ROIs2017_winter/s2_132/ROIs2017_winter_s2_132_p601.tif
8,ROIs1158_spring/lc_83/ROIs1158_spring_lc_83_p593.tif,ROIs1158_spring/s1_83/ROIs1158_spring_s1_83_p593.tif,ROIs1158_spring/s2_83/ROIs1158_spring_s2_83_p593.tif
10,ROIs1970_fall/lc_121/ROIs1970_fall_lc_121_p289.tif,ROIs1970_fall/s1_121/ROIs1970_fall_s1_121_p289.tif,ROIs1970_fall/s2_121/ROIs1970_fall_s2_121_p289.tif
13,ROIs1868_summer/lc_147/ROIs1868_summer_lc_147_p772.tif,ROIs1868_summer/s1_147/ROIs1868_summer_s1_147_p772.tif,ROIs1868_summer/s2_147/ROIs1868_summer_s2_147_p772.tif
2,ROIs1158_spring/lc_39/ROIs1158_spring_lc_39_p166.tif,ROIs1158_spring/s1_39/ROIs1158_spring_s1_39_p166.tif,ROIs1158_spring/s2_39/ROIs1158_spring_s2_39_p166.tif
13,ROIs1158_spring/lc_147/ROIs1158_spring_lc_147_p408.tif,ROIs1158_spring/s1_147/ROIs1158_spring_s1_147_p408.tif,ROIs1158_spring/s2_147/ROIs1158_spring_s2_147_p408.tif
8,ROIs1970_fall/lc_126/ROIs1970_fall_lc_126_p50.tif,ROIs1970_fall/s1_126/ROIs1970_fall_s1_126_p50.tif,ROIs1970_fall/s2_126/ROIs1970_fall_s2_126_p50.tif
12,ROIs1158_spring/lc_140/ROIs1158_spring_lc_140_p126.tif,ROIs1158_spring/s1_140/ROIs1158_spring_s1_140_p126.tif,ROIs1158_spring/s2_140/ROIs1158_spring_s2_140_p126.tif
10,ROIs1970_fall/lc_64/ROIs1970_fall_lc_64_p574.tif,ROIs1970_fall/s1_64/ROIs1970_fall_s1_64_p574.tif,ROIs1970_fall/s2_64/ROIs1970_fall_s2_64_p574.tif
2,ROIs1868_summer/lc_86/ROIs1868_summer_lc_86_p437.tif,ROIs1868_summer/s1_86/ROIs1868_summer_s1_86_p437.tif,ROIs1868_summer/s2_86/ROIs1868_summer_s2_86_p437.tif
10,ROIs1868_summer/lc_19/ROIs1868_summer_lc_19_p300.tif,ROIs1868_summer/s1_19/ROIs1868_summer_s1_19_p300.tif,ROIs1868_summer/s2_19/ROIs1868_summer_s2_19_p300.tif
12,ROIs2017_winter/lc_69/ROIs2017_winter_lc_69_p753.tif,ROIs2017_winter/s1_69/ROIs2017_winter_s1_69_p753.tif,ROIs2017_winter/s2_69/ROIs2017_winter_s2_69_p753.tif
8,ROIs1868_summer/lc_90/ROIs1868_summer_lc_90_p102.tif,ROIs1868_summer/s1_90/ROIs1868_summer_s1_90_p102.tif,ROIs1868_summer/s2_90/ROIs1868_summer_s2_90_p102.tif
13,ROIs1970_fall/lc_107/ROIs1970_fall_lc_107_p780.tif,ROIs1970_fall/s1_107/ROIs1970_fall_s1_107_p780.tif,ROIs1970_fall/s2_107/ROIs1970_fall_s2_107_p780.tif
11,ROIs1868_summer/lc_76/ROIs1868_summer_lc_76_p663.tif,ROIs1868_summer/s1_76/ROIs1868_summer_s1_76_p663.tif,ROIs1868_summer/s2_76/ROIs1868_summer_s2_76_p663.tif
10,ROIs1158_spring/lc_109/ROIs1158_spring_lc_109_p484.tif,ROIs1158_spring/s1_109/ROIs1158_spring_s1_109_p484.tif,ROIs1158_spring/s2_109/ROIs1158_spring_s2_109_p484.tif
9,ROIs1970_fall/lc_40/ROIs1970_fall_lc_40_p467.tif,ROIs1970_fall/s1_40/ROIs1970_fall_s1_40_p467.tif,ROIs1970_fall/s2_40/ROIs1970_fall_s2_40_p467.tif
13,ROIs1970_fall/lc_142/ROIs1970_fall_lc_142_p617.tif,ROIs1970_fall/s1_142/ROIs1970_fall_s1_142_p617.tif,ROIs1970_fall/s2_142/ROIs1970_fall_s2_142_p617.tif
8,ROIs1158_spring/lc_83/ROIs1158_spring_lc_83_p632.tif,ROIs1158_spring/s1_83/ROIs1158_spring_s1_83_p632.tif,ROIs1158_spring/s2_83/ROIs1158_spring_s2_83_p632.tif
2,ROIs1158_spring/lc_39/ROIs1158_spring_lc_39_p393.tif,ROIs1158_spring/s1_39/ROIs1158_spring_s1_39_p393.tif,ROIs1158_spring/s2_39/ROIs1158_spring_s2_39_p393.tif
11,ROIs1158_spring/lc_110/ROIs1158_spring_lc_110_p329.tif,ROIs1158_spring/s1_110/ROIs1158_spring_s1_110_p329.tif,ROIs1158_spring/s2_110/ROIs1158_spring_s2_110_p329.tif
8,ROIs2017_winter/lc_108/ROIs2017_winter_lc_108_p306.tif,ROIs2017_winter/s1_108/ROIs2017_winter_s1_108_p306.tif,ROIs2017_winter/s2_108/ROIs2017_winter_s2_108_p306.tif
12,ROIs1158_spring/lc_124/ROIs1158_spring_lc_124_p758.tif,ROIs1158_spring/s1_124/ROIs1158_spring_s1_124_p758.tif,ROIs1158_spring/s2_124/ROIs1158_spring_s2_124_p758.tif
12,ROIs1970_fall/lc_141/ROIs1970_fall_lc_141_p100.tif,ROIs1970_fall/s1_141/ROIs1970_fall_s1_141_p100.tif,ROIs1970_fall/s2_141/ROIs1970_fall_s2_141_p100.tif
12,ROIs2017_winter/lc_64/ROIs2017_winter_lc_64_p717.tif,ROIs2017_winter/s1_64/ROIs2017_winter_s1_64_p717.tif,ROIs2017_winter/s2_64/ROIs2017_winter_s2_64_p717.tif
13,ROIs1868_summer/lc_120/ROIs1868_summer_lc_120_p448.tif,ROIs1868_summer/s1_120/ROIs1868_summer_s1_120_p448.tif,ROIs1868_summer/s2_120/ROIs1868_summer_s2_120_p448.tif
2,ROIs1970_fall/lc_71/ROIs1970_fall_lc_71_p223.tif,ROIs1970_fall/s1_71/ROIs1970_fall_s1_71_p223.tif,ROIs1970_fall/s2_71/ROIs1970_fall_s2_71_p223.tif
9,ROIs1868_summer/lc_146/ROIs1868_summer_lc_146_p469.tif,ROIs1868_summer/s1_146/ROIs1868_summer_s1_146_p469.tif,ROIs1868_summer/s2_146/ROIs1868_summer_s2_146_p469.tif
2,ROIs1158_spring/lc_112/ROIs1158_spring_lc_112_p734.tif,ROIs1158_spring/s1_112/ROIs1158_spring_s1_112_p734.tif,ROIs1158_spring/s2_112/ROIs1158_spring_s2_112_p734.tif
11,ROIs1868_summer/lc_43/ROIs1868_summer_lc_43_p130.tif,ROIs1868_summer/s1_43/ROIs1868_summer_s1_43_p130.tif,ROIs1868_summer/s2_43/ROIs1868_summer_s2_43_p130.tif
10,ROIs1158_spring/lc_106/ROIs1158_spring_lc_106_p401.tif,ROIs1158_spring/s1_106/ROIs1158_spring_s1_106_p401.tif,ROIs1158_spring/s2_106/ROIs1158_spring_s2_106_p401.tif
2,ROIs1868_summer/lc_86/ROIs1868_summer_lc_86_p337.tif,ROIs1868_summer/s1_86/ROIs1868_summer_s1_86_p337.tif,ROIs1868_summer/s2_86/ROIs1868_summer_s2_86_p337.tif
14,ROIs1970_fall/lc_144/ROIs1970_fall_lc_144_p217.tif,ROIs1970_fall/s1_144/ROIs1970_fall_s1_144_p217.tif,ROIs1970_fall/s2_144/ROIs1970_fall_s2_144_p217.tif
8,ROIs2017_winter/lc_63/ROIs2017_winter_lc_63_p432.tif,ROIs2017_winter/s1_63/ROIs2017_winter_s1_63_p432.tif,ROIs2017_winter/s2_63/ROIs2017_winter_s2_63_p432.tif
14,ROIs1158_spring/lc_115/ROIs1158_spring_lc_115_p553.tif,ROIs1158_spring/s1_115/ROIs1158_spring_s1_115_p553.tif,ROIs1158_spring/s2_115/ROIs1158_spring_s2_115_p553.tif
9,ROIs1158_spring/lc_9/ROIs1158_spring_lc_9_p187.tif,ROIs1158_spring/s1_9/ROIs1158_spring_s1_9_p187.tif,ROIs1158_spring/s2_9/ROIs1158_spring_s2_9_p187.tif
13,ROIs1970_fall/lc_113/ROIs1970_fall_lc_113_p438.tif,ROIs1970_fall/s1_113/ROIs1970_fall_s1_113_p438.tif,ROIs1970_fall/s2_113/ROIs1970_fall_s2_113_p438.tif
17,ROIs1868_summer/lc_135/ROIs1868_summer_lc_135_p121.tif,ROIs1868_summer/s1_135/ROIs1868_summer_s1_135_p121.tif,ROIs1868_summer/s2_135/ROIs1868_summer_s2_135_p121.tif
10,ROIs2017_winter/lc_107/ROIs2017_winter_lc_107_p84.tif,ROIs2017_winter/s1_107/ROIs2017_winter_s1_107_p84.tif,ROIs2017_winter/s2_107/ROIs2017_winter_s2_107_p84.tif
13,ROIs1158_spring/lc_140/ROIs1158_spring_lc_140_p550.tif,ROIs1158_spring/s1_140/ROIs1158_spring_s1_140_p550.tif,ROIs1158_spring/s2_140/ROIs1158_spring_s2_140_p550.tif
9,ROIs2017_winter/lc_32/ROIs2017_winter_lc_32_p738.tif,ROIs2017_winter/s1_32/ROIs2017_winter_s1_32_p738.tif,ROIs2017_winter/s2_32/ROIs2017_winter_s2_32_p738.tif
11,ROIs1158_spring/lc_134/ROIs1158_spring_lc_134_p712.tif,ROIs1158_spring/s1_134/ROIs1158_spring_s1_134_p712.tif,ROIs1158_spring/s2_134/ROIs1158_spring_s2_134_p712.tif
12,ROIs1158_spring/lc_121/ROIs1158_spring_lc_121_p45.tif,ROIs1158_spring/s1_121/ROIs1158_spring_s1_121_p45.tif,ROIs1158_spring/s2_121/ROIs1158_spring_s2_121_p45.tif
13,ROIs2017_winter/lc_116/ROIs2017_winter_lc_116_p527.tif,ROIs2017_winter/s1_116/ROIs2017_winter_s1_116_p527.tif,ROIs2017_winter/s2_116/ROIs2017_winter_s2_116_p527.tif
14,ROIs1970_fall/lc_104/ROIs1970_fall_lc_104_p676.tif,ROIs1970_fall/s1_104/ROIs1970_fall_s1_104_p676.tif,ROIs1970_fall/s2_104/ROIs1970_fall_s2_104_p676.tif
8,ROIs1868_summer/lc_135/ROIs1868_summer_lc_135_p339.tif,ROIs1868_summer/s1_135/ROIs1868_summer_s1_135_p339.tif,ROIs1868_summer/s2_135/ROIs1868_summer_s2_135_p339.tif
12,ROIs1868_summer/lc_79/ROIs1868_summer_lc_79_p281.tif,ROIs1868_summer/s1_79/ROIs1868_summer_s1_79_p281.tif,ROIs1868_summer/s2_79/ROIs1868_summer_s2_79_p281.tif
13,ROIs2017_winter/lc_126/ROIs2017_winter_lc_126_p416.tif,ROIs2017_winter/s1_126/ROIs2017_winter_s1_126_p416.tif,ROIs2017_winter/s2_126/ROIs2017_winter_s2_126_p416.tif
2,ROIs1158_spring/lc_39/ROIs1158_spring_lc_39_p421.tif,ROIs1158_spring/s1_39/ROIs1158_spring_s1_39_p421.tif,ROIs1158_spring/s2_39/ROIs1158_spring_s2_39_p421.tif
2,ROIs1158_spring/lc_9/ROIs1158_spring_lc_9_p520.tif,ROIs1158_spring/s1_9/ROIs1158_spring_s1_9_p520.tif,ROIs1158_spring/s2_9/ROIs1158_spring_s2_9_p520.tif
14,ROIs1970_fall/lc_144/ROIs1970_fall_lc_144_p505.tif,ROIs1970_fall/s1_144/ROIs1970_fall_s1_144_p505.tif,ROIs1970_fall/s2_144/ROIs1970_fall_s2_144_p505.tif
14,ROIs1158_spring/lc_124/ROIs1158_spring_lc_124_p155.tif,ROIs1158_spring/s1_124/ROIs1158_spring_s1_124_p155.tif,ROIs1158_spring/s2_124/ROIs1158_spring_s2_124_p155.tif
10,ROIs1868_summer/lc_139/ROIs1868_summer_lc_139_p323.tif,ROIs1868_summer/s1_139/ROIs1868_summer_s1_139_p323.tif,ROIs1868_summer/s2_139/ROIs1868_summer_s2_139_p323.tif
2,ROIs1158_spring/lc_39/ROIs1158_spring_lc_39_p793.tif,ROIs1158_spring/s1_39/ROIs1158_spring_s1_39_p793.tif,ROIs1158_spring/s2_39/ROIs1158_spring_s2_39_p793.tif
8,ROIs1158_spring/lc_83/ROIs1158_spring_lc_83_p283.tif,ROIs1158_spring/s1_83/ROIs1158_spring_s1_83_p283.tif,ROIs1158_spring/s2_83/ROIs1158_spring_s2_83_p283.tif
8,ROIs1158_spring/lc_145/ROIs1158_spring_lc_145_p744.tif,ROIs1158_spring/s1_145/ROIs1158_spring_s1_145_p744.tif,ROIs1158_spring/s2_145/ROIs1158_spring_s2_145_p744.tif
14,ROIs1970_fall/lc_144/ROIs1970_fall_lc_144_p676.tif,ROIs1970_fall/s1_144/ROIs1970_fall_s1_144_p676.tif,ROIs1970_fall/s2_144/ROIs1970_fall_s2_144_p676.tif
12,ROIs2017_winter/lc_27/ROIs2017_winter_lc_27_p397.tif,ROIs2017_winter/s1_27/ROIs2017_winter_s1_27_p397.tif,ROIs2017_winter/s2_27/ROIs2017_winter_s2_27_p397.tif
11,ROIs2017_winter/lc_104/ROIs2017_winter_lc_104_p200.tif,ROIs2017_winter/s1_104/ROIs2017_winter_s1_104_p200.tif,ROIs2017_winter/s2_104/ROIs2017_winter_s2_104_p200.tif
12,ROIs1158_spring/lc_131/ROIs1158_spring_lc_131_p489.tif,ROIs1158_spring/s1_131/ROIs1158_spring_s1_131_p489.tif,ROIs1158_spring/s2_131/ROIs1158_spring_s2_131_p489.tif
14,ROIs1868_summer/lc_102/ROIs1868_summer_lc_102_p621.tif,ROIs1868_summer/s1_102/ROIs1868_summer_s1_102_p621.tif,ROIs1868_summer/s2_102/ROIs1868_summer_s2_102_p621.tif
17,ROIs1868_summer/lc_100/ROIs1868_summer_lc_100_p160.tif,ROIs1868_summer/s1_100/ROIs1868_summer_s1_100_p160.tif,ROIs1868_summer/s2_100/ROIs1868_summer_s2_100_p160.tif
13,ROIs1970_fall/lc_110/ROIs1970_fall_lc_110_p129.tif,ROIs1970_fall/s1_110/ROIs1970_fall_s1_110_p129.tif,ROIs1970_fall/s2_110/ROIs1970_fall_s2_110_p129.tif
12,ROIs1868_summer/lc_56/ROIs1868_summer_lc_56_p395.tif,ROIs1868_summer/s1_56/ROIs1868_summer_s1_56_p395.tif,ROIs1868_summer/s2_56/ROIs1868_summer_s2_56_p395.tif
12,ROIs1158_spring/lc_131/ROIs1158_spring_lc_131_p831.tif,ROIs1158_spring/s1_131/ROIs1158_spring_s1_131_p831.tif,ROIs1158_spring/s2_131/ROIs1158_spring_s2_131_p831.tif
9,ROIs1970_fall/lc_25/ROIs1970_fall_lc_25_p440.tif,ROIs1970_fall/s1_25/ROIs1970_fall_s1_25_p440.tif,ROIs1970_fall/s2_25/ROIs1970_fall_s2_25_p440.tif
